stage,dataset,label_column,return_column,horizon_bars,threshold,model,cost_bps,max_rows,folds,process_exit_code,verdict,trade_count,win_rate,avg_trade_return,total_return_gross,total_return_net,max_drawdown,long_count,short_count,best_baseline_name,best_baseline_return_net,excess_over_best_baseline,promoted,promotion_reason,gate_status,summary_json_path,summary_md_path,log_path,command
SMOKE_STAGE,reports/hydra_label_lab/hydra_label_lab_20260522T210742Z/datasets/raw_sign_20b.parquet,lab_raw_sign_20b,fwd_ret_20b,20,0.55,hist_gradient_boosting,2.0,50000,2,0,NO_EDGE,1626,0.4821648216482165,-0.00010063183080597251,0.16157264310948874,-0.1636273568905113,-0.1916585946375903,581,1045,random_seed_4,-0.14974339753287041,-0.01388395935764089,True,smoke promotion gate passed,PROMOTED_TO_MEDIUM,reports/hydra_research_gauntlet_raw_sign_20b/hydra_gauntlet_fast_lab_raw_sign_20b_20260522T211549Z/stage_outputs/smoke_stage_hist_gradient_boosting_thr_0.55_cost_2.0_rows_50000/nonoverlap_raw_sign_20b_lab_raw_sign_20b_20260522_211633/summary.json,reports/hydra_research_gauntlet_raw_sign_20b/hydra_gauntlet_fast_lab_raw_sign_20b_20260522T211549Z/stage_outputs/smoke_stage_hist_gradient_boosting_thr_0.55_cost_2.0_rows_50000/nonoverlap_raw_sign_20b_lab_raw_sign_20b_20260522_211633/summary.md,reports/hydra_research_gauntlet_raw_sign_20b/hydra_gauntlet_fast_lab_raw_sign_20b_20260522T211549Z/logs/smoke_stage_hist_gradient_boosting_thr_0.55_cost_2.0_rows_50000.log,python scripts/validate_hydra_nonoverlap.py --dataset reports/hydra_label_lab/hydra_label_lab_20260522T210742Z/datasets/raw_sign_20b.parquet --label-column lab_raw_sign_20b --return-column fwd_ret_20b --horizon-bars 20 --folds 2 --embargo-bars 288 --threshold 0.55 --cost-bps 2.0 --model hist_gradient_boosting --output-dir reports/hydra_research_gauntlet_raw_sign_20b/hydra_gauntlet_fast_lab_raw_sign_20b_20260522T211549Z/stage_outputs/smoke_stage_hist_gradient_boosting_thr_0.55_cost_2.0_rows_50000 --max-rows 50000
SMOKE_STAGE,reports/hydra_label_lab/hydra_label_lab_20260522T210742Z/datasets/raw_sign_20b.parquet,lab_raw_sign_20b,fwd_ret_20b,20,0.65,hist_gradient_boosting,2.0,50000,2,0,NO_EDGE,1416,0.480225988700565,-0.00012763239696689656,0.1024725258948745,-0.18072747410512552,-0.22581654244959065,473,943,random_seed_4,-0.14974339753287041,-0.030984076572255104,False,smoke drawdown below -0.20; smoke neither net positive nor near baseline,FAILED_GATE,reports/hydra_research_gauntlet_raw_sign_20b/hydra_gauntlet_fast_lab_raw_sign_20b_20260522T211549Z/stage_outputs/smoke_stage_hist_gradient_boosting_thr_0.65_cost_2.0_rows_50000/nonoverlap_raw_sign_20b_lab_raw_sign_20b_20260522_211728/summary.json,reports/hydra_research_gauntlet_raw_sign_20b/hydra_gauntlet_fast_lab_raw_sign_20b_20260522T211549Z/stage_outputs/smoke_stage_hist_gradient_boosting_thr_0.65_cost_2.0_rows_50000/nonoverlap_raw_sign_20b_lab_raw_sign_20b_20260522_211728/summary.md,reports/hydra_research_gauntlet_raw_sign_20b/hydra_gauntlet_fast_lab_raw_sign_20b_20260522T211549Z/logs/smoke_stage_hist_gradient_boosting_thr_0.65_cost_2.0_rows_50000.log,python scripts/validate_hydra_nonoverlap.py --dataset reports/hydra_label_lab/hydra_label_lab_20260522T210742Z/datasets/raw_sign_20b.parquet --label-column lab_raw_sign_20b --return-column fwd_ret_20b --horizon-bars 20 --folds 2 --embargo-bars 288 --threshold 0.65 --cost-bps 2.0 --model hist_gradient_boosting --output-dir reports/hydra_research_gauntlet_raw_sign_20b/hydra_gauntlet_fast_lab_raw_sign_20b_20260522T211549Z/stage_outputs/smoke_stage_hist_gradient_boosting_thr_0.65_cost_2.0_rows_50000 --max-rows 50000
SMOKE_STAGE,reports/hydra_label_lab/hydra_label_lab_20260522T210742Z/datasets/raw_sign_20b.parquet,lab_raw_sign_20b,fwd_ret_20b,20,0.62,hist_gradient_boosting,2.0,50000,2,0,NO_EDGE,1508,0.48209549071618035,-0.0001301724027760242,0.10530001661375553,-0.1962999833862445,-0.22861170031146238,517,991,random_seed_4,-0.14974339753287041,-0.04655658585337408,False,smoke drawdown below -0.20; smoke neither net positive nor near baseline,FAILED_GATE,reports/hydra_research_gauntlet_raw_sign_20b/hydra_gauntlet_fast_lab_raw_sign_20b_20260522T211549Z/stage_outputs/smoke_stage_hist_gradient_boosting_thr_0.62_cost_2.0_rows_50000/nonoverlap_raw_sign_20b_lab_raw_sign_20b_20260522_211701/summary.json,reports/hydra_research_gauntlet_raw_sign_20b/hydra_gauntlet_fast_lab_raw_sign_20b_20260522T211549Z/stage_outputs/smoke_stage_hist_gradient_boosting_thr_0.62_cost_2.0_rows_50000/nonoverlap_raw_sign_20b_lab_raw_sign_20b_20260522_211701/summary.md,reports/hydra_research_gauntlet_raw_sign_20b/hydra_gauntlet_fast_lab_raw_sign_20b_20260522T211549Z/logs/smoke_stage_hist_gradient_boosting_thr_0.62_cost_2.0_rows_50000.log,python scripts/validate_hydra_nonoverlap.py --dataset reports/hydra_label_lab/hydra_label_lab_20260522T210742Z/datasets/raw_sign_20b.parquet --label-column lab_raw_sign_20b --return-column fwd_ret_20b --horizon-bars 20 --folds 2 --embargo-bars 288 --threshold 0.62 --cost-bps 2.0 --model hist_gradient_boosting --output-dir reports/hydra_research_gauntlet_raw_sign_20b/hydra_gauntlet_fast_lab_raw_sign_20b_20260522T211549Z/stage_outputs/smoke_stage_hist_gradient_boosting_thr_0.62_cost_2.0_rows_50000 --max-rows 50000
SMOKE_STAGE,reports/hydra_label_lab/hydra_label_lab_20260522T210742Z/datasets/raw_sign_20b.parquet,lab_raw_sign_20b,fwd_ret_20b,20,0.68,hist_gradient_boosting,2.0,50000,2,0,NO_EDGE,1292,0.48839009287925694,-0.00017446976705756695,0.03298506096162352,-0.2254149390383765,-0.24047250981343216,423,869,random_seed_4,-0.14974339753287041,-0.07567154150550609,False,smoke drawdown below -0.20; smoke neither net positive nor near baseline,FAILED_GATE,reports/hydra_research_gauntlet_raw_sign_20b/hydra_gauntlet_fast_lab_raw_sign_20b_20260522T211549Z/stage_outputs/smoke_stage_hist_gradient_boosting_thr_0.68_cost_2.0_rows_50000/nonoverlap_raw_sign_20b_lab_raw_sign_20b_20260522_211756/summary.json,reports/hydra_research_gauntlet_raw_sign_20b/hydra_gauntlet_fast_lab_raw_sign_20b_20260522T211549Z/stage_outputs/smoke_stage_hist_gradient_boosting_thr_0.68_cost_2.0_rows_50000/nonoverlap_raw_sign_20b_lab_raw_sign_20b_20260522_211756/summary.md,reports/hydra_research_gauntlet_raw_sign_20b/hydra_gauntlet_fast_lab_raw_sign_20b_20260522T211549Z/logs/smoke_stage_hist_gradient_boosting_thr_0.68_cost_2.0_rows_50000.log,python scripts/validate_hydra_nonoverlap.py --dataset reports/hydra_label_lab/hydra_label_lab_20260522T210742Z/datasets/raw_sign_20b.parquet --label-column lab_raw_sign_20b --return-column fwd_ret_20b --horizon-bars 20 --folds 2 --embargo-bars 288 --threshold 0.68 --cost-bps 2.0 --model hist_gradient_boosting --output-dir reports/hydra_research_gauntlet_raw_sign_20b/hydra_gauntlet_fast_lab_raw_sign_20b_20260522T211549Z/stage_outputs/smoke_stage_hist_gradient_boosting_thr_0.68_cost_2.0_rows_50000 --max-rows 50000
